ordinal,seed,candidate,training_runtime_seconds,results_sha256
1,0,PLAIN_P2,1048.03,2542cdc16b51f4bc2e243e2d04110b42be5be80dabeced79e76af57c72667034
2,0,DCLI,1330.79,6d04a048b6595442a5eebbe7ff7487bf6c9dcf5bb8ec6b32a6464807e96ba38c
3,1,DCLI,1306.3,c950dba019bef755b51dff26d8bc6e08a236708309dcef2ab87a57a46c449725
4,1,PLAIN_P2,835.513,63310c287bed0ea84953c0853eb222ca06fd3fa6ab72bfaaa75ec7b61343e2e7
5,2,PLAIN_P2,844.358,98f396ee2d445c442bfac0fb5e03d46497be1bd43dd46dcc9e6c4adb7c240150
6,2,DCLI,1100.45,081a8dd389f5866bd83e70fb220d3ff394145a30d83e6f360696db4eff801fb3
7,3,DCLI,1278.54,cfcfbece59c86a894c9684480e4b6925f94fafccb2adbc9a741895c663f09335
8,3,PLAIN_P2,848.772,81f7aee785b6a9612034b4b9e7ea4a29ef93e0bf8ec2a0c08bc166eb07a7b7a3
9,4,PLAIN_P2,846.922,df3eaf564e0c322e456f76a8c9dfb20d3cba2cc72aebf711935745b06149a0e7
10,4,DCLI,1361.61,892da32e708f837edef6eb911620e8c447a43d54081ee593cd95e400201647b7
